pathways,genes
KEGG_O_GLYCAN_BIOSYNTHESIS,B3GNT6 B4GALT5 C1GALT1 C1GALT1C1 GALNT1 GALNT10 GALNT11 GALNT12 GALNT13 GALNT14 GALNT2 GALNT3 GALNT4 GALNT5 GALNT6 GALNT7 GALNT8 GALNT9 GALNTL5 GALNTL6 GCNT1 GCNT3 GCNT4 ST3GAL1 ST3GAL2 ST6GALNAC1 WBSCR17
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,BCAT1 BCAT2 COASY DPYD DPYS ENPP1 ENPP3 PANK1 PANK2 PANK3 PANK4 PPCDC PPCS UPB1 VNN1 VNN2
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,AKR1B1 CRYL1 DCXR DHDH GUSB RPE UGDH UGP2 UGT1A10 UGT1A3 UGT1A4 UGT1A6 UGT1A8 UGT2A1 UGT2A3 UGT2B10 UGT2B4 XYLB
KEGG_PENTOSE_PHOSPHATE_PATHWAY,ALDOA ALDOB ALDOC DERA FBP1 FBP2 G6PD GPI H6PD PFKL PFKM PFKP PGD PGLS PGM1 PGM2 PRPS1 PRPS2 RBKS RPE RPIA TALDO1 TKT TKTL1 TKTL2
KEGG_PHENYLALANINE_METABOLISM,ALDH1A3 ALDH3A1 ALDH3B2 AOC2 AOC3 DDC GOT1 GOT2 HPD IL4I1 MAOA MAOB MIF NAT6 PAH PRDX6 TAT
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,ALAD ALAS1 ALAS2 BLVRA BLVRB COX10 COX15 CP CPOX EARS2 EPRS FECH FTMT GUSB HCCS HMBS HMOX1 HMOX2 MMAB PPOX UGT1A10 UGT1A3 UGT1A4 UGT1A6 UGT1A8 UGT2A1 UGT2A3 UGT2B10 UGT2B4 UROD UROS
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,ACOX2 AKR1C4 AKR1D1 AMACR BAAT CH25H CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 CYP8B1 HSD17B4 HSD3B7 SCP2 SLC27A5
KEGG_PRIMARY_IMMUNODEFICIENCY,ADA AICDA AIRE BLNK BTK CD19 CD3D CD3E CD4 CD40 CD40LG CD79A CD8A CD8B CIITA DCLRE1C ICOS IGLL1 IKBKG IL2RG IL7R JAK3 LCK PTPRC RAG1 RAG2 RFX5 RFXANK RFXAP TAP1 TAP2 TNFRSF13B TNFRSF13C UNG ZAP70
KEGG_PROPANOATE_METABOLISM,ABAT ACACA ACACB ACADM ACAT1 ACAT2 ACSS1 ACSS2 ACSS3 ALDH1B1 ALDH2 ALDH3A2 ALDH6A1 ALDH7A1 ALDH9A1 ECHS1 EHHADH HADHA HIBCH LDHA LDHAL6A LDHAL6B LDHB LDHC MCEE MLYCD MUT PCCA PCCB SUCLA2 SUCLG1 SUCLG2
KEGG_PROTEASOME,IFNG POMP PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 SHFM1
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,AQP1 ATP1A1 ATP1A2 ATP1A3 ATP1A4 ATP1B1 ATP1B2 ATP1B3 ATP1B4 CA2 CA4 FXYD2 GLS GLS2 GLUD1 GLUD2 MDH1 PCK1 PCK2 SLC25A10 SLC4A4 SLC9A3
KEGG_REGULATION_OF_AUTOPHAGY,ATG12 ATG3 ATG4A ATG4B ATG4C ATG4D ATG5 ATG7 BECN1 GABARAP GABARAPL1 GABARAPL2 IFNA2 IFNA7 IFNG INS PIK3C3 PIK3R4 PRKAA1 PRKAA2 ULK1 ULK2 ULK3
KEGG_RIBOFLAVIN_METABOLISM,ACP1 ACP2 ACP5 ACP6 ACPP ACPT ENPP1 ENPP3 FLAD1 MTMR1 MTMR2 MTMR6 MTMR7 PHPT1 RFK TYR
KEGG_SELENOAMINO_ACID_METABOLISM,AHCY AHCYL1 AHCYL2 CBS CTH GGT5 GGT6 GGT7 HEMK1 LCMT1 LCMT2 MARS MARS2 MAT1A MAT2A MAT2B METTL6 PAPSS1 PAPSS2 SCLY SEPHS1 SEPHS2 TRMT11 WBSCR22
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,BET1 BET1L BNIP1 GOSR1 GOSR2 SNAP23 SNAP25 SNAP29 SNAP47 STX10 STX11 STX12 STX16 STX17 STX18 STX19 STX1A STX1B STX2 STX3 STX4 STX5 STX6 STX7 STX8 TSNARE1 USE1 VAMP1 VAMP2 VAMP3 VAMP4 VAMP5 VAMP8 VTI1A VTI1B YKT6
KEGG_SULFUR_METABOLISM,BPNT1 CHST11 CHST12 CHST13 PAPSS1 PAPSS2 SULT1A1 SULT1A2 SULT1E1 SULT2B1 SUOX
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,ADO BAAT CDO1 CSAD GAD1 GAD2 GGT5 GGT6 GGT7
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,ACAT1 ACAT2 DHDDS FDPS GGPS1 HMGCR HMGCS1 HMGCS2 IDI1 IDI2 MVD MVK PDSS1 PDSS2 PMVK
KEGG_THYROID_CANCER,BRAF CCDC6 CCND1 CDH1 CTNNB1 HRAS KRAS LEF1 MAP2K1 MAP2K2 MAPK1 MAPK3 MYC NCOA4 NRAS NTRK1 PAX8 PPARG RET RXRA RXRB RXRG TCF7 TCF7L1 TCF7L2 TFG TP53 TPM3 TPR
KEGG_TRYPTOPHAN_METABOLISM,AADAT AANAT ACAT1 ACAT2 ACMSD AFMID ALDH1B1 ALDH2 ALDH3A2 ALDH7A1 ALDH9A1 AOX1 CAT CYP1A1 CYP1A2 CYP1B1 DDC ECHS1 EHHADH GCDH HAAO HADH HADHA IDO1 IDO2 IL4I1 INMT KMO KYNU MAOA MAOB OGDH OGDHL TDO2 TPH1 TPH2 WARS WARS2
KEGG_TYPE_II_DIABETES_MELLITUS,ABCC8 ADIPOQ CACNA1A CACNA1B CACNA1C CACNA1D CACNA1E CACNA1G GCK HK1 HK2 HK3 IKBKB INS INSR IRS1 IRS2 IRS4 KCNJ11 MAFA MAPK1 MAPK10 MAPK3 MAPK8 MAPK9 MTOR PDX1 PIK3CA PIK3CB PIK3CD PIK3CG PIK3R1 PIK3R2 PIK3R3 PIK3R5 PKLR PRKCD PRKCE PRKCZ SLC2A2 SLC2A4 SOCS1 SOCS2 SOCS3 SOCS4 TNF
KEGG_TYPE_I_DIABETES_MELLITUS,CD28 CD80 CD86 CPE FAS FASLG GAD1 GAD2 GZMB HLA-B HLA-DMA HLA-DMB HLA-DOA HLA-DOB HLA-DPA1 HLA-DPB1 HLA-DQA2 HLA-DRA HLA-E HLA-F HLA-G ICA1 IFNG IL12A IL12B IL1A IL1B IL2 INS LTA PRF1 PTPRN PTPRN2 TNF
KEGG_TYROSINE_METABOLISM,ADH1A ADH1B ADH4 ADH5 ADH6 ADH7 ALDH1A3 ALDH3A1 ALDH3B2 AOC2 AOC3 AOX1 COMT DBH DCT DDC FAH GOT1 GOT2 GSTZ1 HEMK1 HGD HPD IL4I1 LCMT1 LCMT2 MAOA MAOB METTL6 MIF NAT6 PNMT TAT TH TPO TRMT11 TYR TYRP1 WBSCR22
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,BCAT1 BCAT2 IARS IARS2 LARS LARS2 PDHA1 PDHA2 PDHB VARS VARS2
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,ABAT ACAA1 ACAA2 ACAD8 ACADM ACADS ACADSB ACAT1 ACAT2 ALDH1B1 ALDH2 ALDH3A2 ALDH6A1 ALDH7A1 ALDH9A1 AOX1 AUH BCAT1 BCAT2 BCKDHA BCKDHB DBT DLD ECHS1 EHHADH HADH HADHA HADHB HIBADH HIBCH HMGCL HMGCS1 HMGCS2 HSD17B10 IL4I1 IVD MCCC1 MCCC2 MCEE MUT OXCT1 OXCT2 PCCA PCCB
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,ADCY3 ADCY6 ADCY9 AQP2 AQP3 AQP4 ARHGDIA ARHGDIB AVP AVPR2 CREB1 CREB3 CREB3L1 CREB3L2 CREB3L3 CREB3L4 CREB5 DCTN1 DCTN2 DCTN4 DCTN5 DCTN6 DYNC1H1 DYNC1I1 DYNC1I2 DYNC1LI1 DYNC1LI2 DYNC2H1 DYNC2LI1 DYNLL2 GNAS NSF PRKACA PRKACB PRKACG PRKX RAB11A RAB11B RAB5A RAB5B RAB5C STX4 VAMP2
NABA_BASEMENT_MEMBRANES,AGRN COL15A1 COL18A1 COL4A1 COL4A2 COL4A3 COL4A4 COL4A5 COL4A6 COL6A1 COL6A2 COL6A3 COL6A6 COLQ HMCN1 HSPG2 LAMA1 LAMA2 LAMA3 LAMA4 LAMA5 LAMB1 LAMB2 LAMB3 LAMB4 LAMC1 LAMC2 LAMC3 NID1 NID2 NPNT NTN1 NTN3 NTN4 NTN5 NTNG1 NTNG2 PAPLN USH2A
NABA_COLLAGENS,COL10A1 COL11A1 COL11A2 COL12A1 COL13A1 COL14A1 COL15A1 COL16A1 COL17A1 COL18A1 COL19A1 COL1A1 COL1A2 COL20A1 COL21A1 COL22A1 COL23A1 COL24A1 COL25A1 COL27A1 COL28A1 COL2A1 COL3A1 COL4A1 COL4A2 COL4A3 COL4A4 COL4A5 COL4A6 COL5A1 COL5A2 COL5A3 COL6A1 COL6A2 COL6A3 COL6A6 COL7A1 COL8A1 COL8A2 COL9A1 COL9A2 COL9A3
NABA_PROTEOGLYCANS,ACAN ASPN BCAN BGN CHAD CHADL DCN EPYC ESM1 FMOD HAPLN1 HAPLN2 HAPLN3 HAPLN4 HSPG2 IMPG1 IMPG2 KERA LUM NCAN NYX OGN OMD OPTC PODN PODNL1 PRELP PRG2 PRG3 PRG4 SPOCK1 SPOCK2 SPOCK3 SRGN VCAN
PID_A6B1_A6B4_INTEGRIN_PATHWAY,AKT1 CASP7 CD9 CDH1 COL17A1 EGF EGFR ERBB2 ERBB3 GRB2 HRAS IL1A ITGA6 ITGB1 ITGB4 LAMA1 LAMA2 LAMA3 LAMA4 LAMA5 LAMB1 LAMB2 LAMB3 LAMC1 LAMC2 LAMC3 MET MST1 MST1R PIK3CA PIK3R1 PMP22 PRKCA RAC1 RPS6KB1 RXRA RXRB RXRG SFN SHC1 YWHAB YWHAE YWHAG YWHAH YWHAQ
PID_ALK2_PATHWAY,ACVR1 AMH AMHR2 BMP7 BMPR2 SMAD1 SMAD4 SMAD9 TLX2
PID_ALPHA_SYNUCLEIN_PATHWAY,BAD BLK CSNK2A1 FGR FYN GRK5 HCK KLK6 LCK LYN MAOB MAPK1 MAPK3 PARK2 PARK7 PLCB2 PLD1 PLD2 PPP2R5D PRKCD PTK2B SLC6A3 SNCA SNCAIP SRC STUB1 SYK TH TOR1A UBE2L3 UCHL1 YES1
PID_AMB2_NEUTROPHILS_PATHWAY,AGER AKT1 APOB BLK CTGF FGR FYN HCK ICAM1 IL6 ITGAM ITGB2 JAM2 JAM3 LCK LPA LRP1 LYN MMP2 MMP9 MST1 MST1R MYH2 NFKB1 PLAT PLAU PLAUR PLG PRKCZ RAP1A RHOA ROCK1 SELP SELPLG SRC THY1 TLN1 TNF YES1
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY,AGTR1 AKT1 ANGPT1 ANGPT2 ANGPT4 CDKN1A CRK DOK2 ELF1 ELF2 ELK1 ETS1 F2 FES FGF2 FN1 FOXO1 FYN GRB14 GRB2 GRB7 ITGA5 ITGB1 MAPK1 MAPK14 MAPK3 MAPK8 MMP2 NCK1 NFKB1 NOS3 PAK1 PIK3CA PIK3R1 PLD2 PLG PTK2 PTPN11 PXN RAC1 RASA1 RELA RPS6KB1 SHC1 STAT5A STAT5B TEK TNF TNIP2
PID_ANTHRAX_PATHWAY,ANTXR1 ANTXR2 CASP1 IL18 IL1B MAP2K1 MAP2K2 MAP2K3 MAP2K4 MAP2K6 MAP2K7 MAPK1 MAPK3 NLRP1 PGR TNF VCAM1
PID_ARF6_DOWNSTREAM_PATHWAY,ARF1 ARF6 KALRN MAPK1 MAPK3 NME1 PIP5K1A PLAUR PLD1 PLD2 RAB11A RAB11FIP3 RAC1 RHOA TIAM1
PID_ARF6_PATHWAY,ACAP1 ACAP2 ADAP1 ADRB2 AGTR1 ARAP2 ARF6 ARRB1 ARRB2 CYTH2 CYTH3 EFNA1 EGF EGFR EPHA2 FBXO8 GIT1 GNA11 GNA14 GNA15 GNAQ GULP1 HGF IPCEF1 IQSEC1 ITGA2B ITGB3 KIF13B LHCGR MET NCK1 PXN SRC TSHR USP6
PID_ARF6_TRAFFICKING_PATHWAY,ACAP1 ADRB2 AGTR1 ARF6 ASAP2 AVPR2 BIN1 CDH1 CLTC CPE CTNNA1 CTNNB1 CTNND1 DNM2 EDNRB EXOC1 EXOC2 EXOC3 EXOC4 EXOC5 EXOC6 EXOC7 IL2RA INS ITGA1 ITGA10 ITGA11 ITGA2 ITGA3 ITGA4 ITGA5 ITGA6 ITGA7 ITGA8 ITGA9 ITGAV ITGB1 KLC1 MAPK8IP3 NME1 PIP5K1C PLD1 PLD2 RALA SCAMP2 SLC2A4 SPAG9 TSHR VAMP3
PID_ARF_3PATHWAY,AP2A1 AP2M1 ARF1 ARFGAP1 ARFIP2 ASAP1 CD4 CLTA CLTB COPA CYTH2 GBF1 GGA3 GOSR2 KDELR1 PIP5K1A PLD2 RAC1
PID_AR_NONGENOMIC_PATHWAY,AKT1 AR CDC42 CREB1 FOS GNAI1 GNAI2 GNAI3 GNAO1 GNAZ GNB1 GNG2 GNRH1 HRAS MAP2K1 MAP2K2 MAPK1 MAPK3 PELP1 PIK3CA PIK3R1 PLCB1 PLCB2 PLCB3 PLCG1 PLCG2 PTK2 RAC1 RAF1 SHBG SRC
PID_AURORA_A_PATHWAY,AKT1 ARHGEF7 AURKA AURKAIP1 AURKB BIRC5 BRCA1 CDC25B CENPA CKAP5 CPEB1 DLGAP5 FZR1 GADD45A GIT1 GSK3B MDM2 NDEL1 NFKBIA OAZ1 PAK1 PPP2R5D PRKACA RAN RASA1 TACC1 TACC3 TDRD7 TP53 TPX2
PID_AURORA_B_PATHWAY,AURKA AURKB AURKC BIRC5 BUB1 CBX5 CDCA8 CENPA CUL3 DES EVI5 INCENP KIF20A KIF23 KIF2C KLHL13 KLHL9 MYLK NCAPD2 NCAPG NCAPH NCL NDC80 NSUN2 PEBP1 PPP1CC PPP2R5D PSMA3 RACGAP1 RASA1 RHOA SEPT1 SGOL1 SMC2 SMC4 STMN1 TACC1 VIM
PID_AVB3_OPN_PATHWAY,BCAR1 CD44 CDC42 CHUK FOS GSN ILK ITGAV ITGB3 JUN MAP3K1 MAPK1 MAPK3 MAPK8 MMP2 MMP9 NFKB1 NFKBIA PIK3CA PIK3R1 PIP5K1A PLAU PTK2B RAC1 RELA RHOA ROCK2 SPP1 SYK VAV3
PID_BARD1_PATHWAY,ATM ATR BARD1 BRCA1 CCNE1 CDK2 CSTF1 EWSR1 FANCA FANCC FANCD2 FANCE FANCF FANCG FANCL MRE11A NBN PCNA RAD50 RAD51 RBBP8 TOPBP1 TP53 UBE2D3 UBE2L3 XRCC5 XRCC6
PID_BMP_PATHWAY,AHSG BAMBI BMP2 BMP4 BMP6 BMP7 BMPR1A BMPR1B BMPR2 CER1 CHRD CHRDL1 CTDSP1 CTDSP2 CTDSPL FST GREM1 GSK3B HFE2 MAP3K7 MAPK1 NOG NUP214 PPM1A PPP1CA PPP1R15A RGMA RGMB SKI SMAD1 SMAD4 SMAD6 SMAD7 SMAD9 SMURF1 SMURF2 SOSTDC1 TAB1 TAB2 XIAP ZFYVE16
PID_CD40_PATHWAY,AKT1 BCL2L1 BIRC2 BIRC3 C4BPA CBLB CD40 CD40LG FCAMR IL4 JAK3 JUN MAP2K4 MAP3K1 MAPK10 MAPK11 MAPK14 MAPK8 MAPK9 MYC NFKB1 NFKBIA RELA STAT5A TDP2 TNFAIP3 TRAF1 TRAF2 TRAF3 TRAF6
PID_CERAMIDE_PATHWAY,AIFM1 AKT1 ASAH1 BAD BAG4 BAX BCL2 BID BIRC3 CASP8 CRADD CTSD EGF EIF2A EIF2AK2 FADD IGF1 KSR1 MADD MAP2K1 MAP2K2 MAP2K4 MAP3K1 MAP4K4 MAPK1 MAPK3 MAPK8 MYC NFKB1 NFKBIA NSMAF PAWR PDGFA PRKCD PRKCZ PRKRA RAF1 RB1 RELA RIPK1 SMPD1 SMPD3 SPHK2 TNF TNFRSF1A TRADD TRAF2
PID_CIRCADIAN_PATHWAY,ARNTL ATR BHLHE40 CHEK1 CLOCK CRY1 CRY2 CSNK1E DEC1 NONO NPAS2 NR1D1 PER1 PER2 TIMELESS WDR5
PID_CXCR3_PATHWAY,AKT1 ARRB1 CCL11 CXCL10 CXCL11 CXCL13 CXCL9 CXCR3 DNM1 GNAI1 GNAI2 GNAI3 GNAO1 GNAZ GNB1 GNG2 HRAS ITGAL ITGB2 KRAS MAP2K1 MAP2K2 MAP2K3 MAP2K6 MAPK1 MAPK11 MAPK14 MAPK3 MAPKAP1 MLST8 MTOR NRAS PDPK1 PF4 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 RAF1 RICTOR SRC
PID_DELTA_NP63_PATHWAY,ADA ADRM1 ATM AXL BDKRB2 BRCA2 CCNB2 CDKN2A CEBPD COL5A1 DLX5 DLX6 FASN FBXW7 FOSL2 GNB2L1 GPX2 GSK3B HBP1 HELLS HES1 IGFBP3 IL1A ITCH ITGA3 KRT14 MDM2 MRE11A NOTCH1 NRG1 PERP POU2F2 PPP2R5A RAB38 RRAD RUNX1 SEC14L2 SFN STXBP4 T TCF7L1 TOP2A TP63 VDR WWP1 YAP1
PID_ECADHERIN_KERATINOCYTE_PATHWAY,AKT1 AKT2 CASR CDH1 CTNNA1 CTNNB1 CTNND1 EGFR FMN1 FYN JUP PIK3CA PIK3R1 PIP5K1A PLCG1 RAC1 RHOA SRC VASP ZYX
PID_EPHA2_FWD_PATHWAY,ACP1 ARHGAP35 BCAR1 CBL EFNA1 EPHA2 GRB2 INPPL1 PAK1 PIK3CA PIK3R1 PTK2 RAC1 RHOA SHC1 SRC TIAM1 VAV2 VAV3
PID_EPHA_FWDPATHWAY,ARHGEF15 BLK CBL CDK5 CRK CRKL EFNA1 EFNA2 EFNA3 EFNA5 EPHA1 EPHA2 EPHA3 EPHA4 EPHA5 EPHA6 EPHA7 EPHA8 FGR FYN HCK LCK LYN NGEF PIK3CG PIK3R5 PLCG1 RHOA ROCK1 SRC VAV2 VAV3 YES1
PID_EPHB_FWD_PATHWAY,CDC42 CRK DNM1 EFNA5 EFNB1 EFNB2 EFNB3 EPHB1 EPHB2 EPHB3 EPHB4 GRB2 GRB7 GRIA1 HRAS ITSN1 KALRN KRAS MAP2K1 MAP4K4 MAPK1 MAPK3 NCK1 NRAS PAK1 PIK3CA PIK3R1 PTK2 PXN RAC1 RAP1A RASA1 ROCK1 RRAS SHC1 SRC SYNJ1 TF WASL
PID_EPHRINB_REV_PATHWAY,BLK CXCR4 DNM1 EFNB1 EFNB2 EPHB1 EPHB2 EPHB4 FGA FGB FGG FGR FYN HCK ITGA2B ITGB3 LCK LYN MAP2K4 MAP3K7 MAPK8 NCK2 PIK3CA PIK3R1 PTPN13 RAC1 RGS3 SRC TIAM1 YES1
PID_EPO_PATHWAY,BCL2 BCL2L1 BTK CBL CRKL EPO EPOR GAB1 GRB2 HRAS IRS2 JAK2 LYN MAPK14 MAPK8 NFKB1 PIK3R1 PLCG1 PLCG2 PTPN11 PTPN6 RAP1A RAPGEF1 SH2B3 SHC1 SOCS3 SOS1 STAT1 STAT5A STAT5B TEC TRPC6 VAV2
PID_ERBB1_INTERNALIZATION_PATHWAY,AMPH ARHGEF7 CBL CBLB CDC42 DNM1 EGF EGFR EPN1 EPS15 GRB2 HGS HRAS ITSN1 KRAS LRIG1 NRAS PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PTK2 RAB5A RAF1 SH3GL2 SH3KBP1 SHC1 SOS1 SPRY2 SRC STAMBP SYNJ1 TSG101 UBE2D1 UBE2D2 UBE2D3 USP8 ZFYVE28
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY,EGF EGFR GAB1 GNAI1 GNAI3 GRB2 GSN HRAS KRAS MAPK1 MAPK3 NCK1 NCK2 NRAS PAK1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PIP5K1C PLCG1 PTK2 PTPN1 PTPN11 PTPN6 RASA1 SHC1 SOS1 SRC STAT1 STAT3 TLN1 WASL
PID_ERBB2_ERBB3_PATHWAY,AKT1 BAD CDC42 CHRNA1 CHRNE DOCK7 ERBB2 ERBB3 FOS GRB2 HRAS JAK2 JUN KRAS MAP2K1 MAP2K2 MAPK1 MAPK10 MAPK3 MAPK8 MAPK9 MTOR NF2 NFATC4 NRAS NRG1 NRG2 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PPP3CB PRKACA PTPN11 RAC1 RAF1 RNF41 SHC1 SOS1 SRC STAT3 USP8
PID_ERBB4_PATHWAY,ADAM17 BTC CBFA2T3 DLG4 ERBB2 ERBB4 EREG FYN GRB2 GRIN2B HBEGF ITCH JAK2 LRIG1 MAPK1 MAPK3 MDM2 NCOR1 NEDD4 NRG1 NRG2 NRG3 NRG4 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PRL PRLR SHC1 STAT5A STAT5B TAB2 WWOX WWP1 YAP1
PID_ERBB_NETWORK_PATHWAY,BTC EGF EGFR ERBB2 ERBB3 ERBB4 EREG HBEGF HSP90AA1 NRG1 NRG2 NRG3 NRG4 TGFA
PID_FAS_PATHWAY,AKT1 BID BIRC2 BIRC3 BTK CASP10 CASP3 CASP8 CFLAR CHUK CLTC EZR FADD FAIM2 FAS FASLG IKBKB IKBKG MAP2K6 MAP2K7 MAP3K1 MAPK10 MAPK11 MAPK14 MAPK8 MAPK9 PDPK1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 RFC1 RIPK1 SMPD1 SRC SYK
PID_FOXM1_PATHWAY,AURKB BIRC5 BRCA2 CCNA2 CCNB1 CCNB2 CCND1 CCNE1 CDC25B CDK1 CDK2 CDK4 CDKN2A CENPA CENPB CENPF CHEK2 CREBBP EP300 ESR1 ETV5 FOS FOXM1 GAS1 GSK3A HIST1H2BA LAMA4 MAP2K1 MMP2 MYC NEK2 NFATC3 ONECUT1 PLK1 RB1 SKP2 SP1 TGFA XRCC1
PID_FOXO_PATHWAY,AKT1 BCL2L11 BCL6 CAT CCNB1 CDK2 CDKN1B CHUK CREBBP CSNK1A1 CSNK1D CSNK1E CSNK1G1 CSNK1G2 CSNK1G3 CTNNB1 EP300 FASLG FBXO32 FOXO1 FOXO3 FOXO4 G6PC GADD45A IKBKB KAT2B MAPK10 MAPK8 MAPK9 MST1 PLK1 RALA RALB RAN RBL2 SFN SGK1 SIRT1 SKP2 SOD2 USP7 XPO1 YWHAB YWHAE YWHAG YWHAH YWHAQ ZFAND5
PID_FRA_PATHWAY,ATF4 BGLAP CCL2 CCNA2 CCND1 CDKN2A COL1A2 DCN DMTF1 EP300 FOSL1 FOSL2 GJA1 HMOX1 IL6 IL8 ITGB4 IVL JUN JUNB JUND LAMA3 LIF MGP MMP1 MMP2 MMP9 NFATC1 NFATC2 NFATC3 NOS3 PLAU PLAUR SP1 THBD TXLNG USF2
PID_GLYPICAN_1PATHWAY,APP BLK FGF2 FGFR1 FGR FLT1 FYN GPC1 HCK LAMA1 LCK LYN NRG1 PLA2G2A PRNP SERPINC1 SLIT2 SMAD2 SRC TDGF1 TGFB1 TGFB2 TGFB3 TGFBR1 TGFBR2 VEGFA YES1
PID_GMCSF_PATHWAY,CCL2 CISH CSF2 CSF2RB FOS GAB2 GRB2 HRAS IKBKB IRF8 JAK2 KRAS LYN MAP2K1 MAP2K2 MAPK1 MAPK3 NRAS OSM PIK3CA PIK3R1 PIM1 PRKACA PRKACB PRKACG PTPN11 RAF1 SHC1 SOS1 STAT1 STAT3 STAT5A STAT5B SYK
PID_HDAC_CLASSIII_PATHWAY,ACSS1 ACSS2 BAX CDKN1A CREBBP EP300 FHL2 FOXO1 FOXO3 FOXO4 HDAC4 HIST1H1E HOXA10 KAT2B MEF2D MYOD1 PPARGC1A SIRT1 SIRT2 SIRT3 SIRT7 TP53 XRCC6
PID_HEDGEHOG_2PATHWAY,ADRBK1 AKT1 ARRB2 BOC CDON DHH GAS1 GLI2 HHAT HHIP IHH LRP2 LRPAP1 PIK3CA PIK3R1 PTCH1 PTCH2 PTHLH SHH SMO STIL TGFB2
PID_HES_HEY_PATHWAY,AR ARNT ASCL1 BGLAP CAMK2D CD4 CDKN1B CREBBP CTBP1 E2F1 EP300 GAA GATA1 GATA4 GATA6 GHR HDAC1 HES1 HES6 HEY1 HEY2 HIF1A ID1 JAK2 KDM1A KDR MAML1 MAML2 MYB MYOD1 NCOA1 NCOR1 NCOR2 NEUROG3 NOTCH1 PARP1 PTF1A RB1 RBBP8 RBPJ RCAN1 RUNX2 SPEN STAT3 TCF3 TLE1 TWIST1 YY1
PID_HIF1A_PATHWAY,ARNT CDKN2A COPS5 CUL2 EGLN1 EGLN2 EGLN3 GNB2L1 HIF1A HIF1AN HIF3A HSP90AA1 NAA10 OS9 RBX1 TCEB2 TP53 VHL
PID_HIF2PATHWAY,ABCG2 ADORA2A APEX1 ARNT BHLHE40 CITED2 CREBBP EFNA1 EGLN1 EGLN2 EGLN3 EIF3E ELK1 EP300 EPAS1 EPO ETS1 FLT1 FXN HIF1AN KDR MMP14 PGK1 SERPINE1 SIRT1 SLC11A2 SLC2A1 SP1 TCEB2 TWIST1 VEGFA VHL
PID_HIV_NEF_PATHWAY,APAF1 BAG4 BCL2 BID BIRC3 CASP2 CASP3 CASP6 CASP7 CASP8 CASP9 CD247 CFLAR CHUK CRADD DAXX DFFA DFFB FADD FAS FASLG MAP2K7 MAP3K5 MAPK8 NFKB1 NFKBIA RELA RIPK1 TNF TNFRSF1A TRADD TRAF1 TRAF2
PID_HNF3A_PATHWAY,AP1B1 APOB AR ATP5J BRCA1 C4BPB CDKN1B CEBPB COL18A1 CREBBP CYP2C18 DSCAM EP300 ESR1 FOS FOXA1 FOXA2 FOXA3 GCG INS JUN KLK3 NCOA3 NDUFV3 NFIA NFIB NFIC NKX3-1 NR2F2 NRIP1 PISD POU2F1 PRDM15 SCGB1A1 SERPINA1 SFTPD SHH SOD1 SP1 TFF1 VTN XBP1
PID_HNF3B_PATHWAY,ABCC8 ACADM ACADVL AFP AKT1 ALAS1 ALB ALDOB APOA1 BDH1 CEBPA CEBPB CEBPD CPT1A CPT1B CPT1C CREB1 DLK1 F2 FOXA1 FOXA2 FOXA3 FOXF1 G6PC GCK HADH HMGCS1 HNF1A HNF1B HNF4A IGFBP1 INS KCNJ11 NF1 NKX2-1 NR3C1 PCK1 PDX1 PKLR SLC2A2 SP1 TAT TFRC TTR UCP2
